MarketTrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,Impact,Region,TargetAudience,MarketShareImpact,RevenueImpact,CompetitorReaction,TrendSource
1,1,carry,Join never TV include majority court production join its near morning.,8/26/2020,1/30/2020,Low,Utah,fine,3.07,49946.65,Sister cultural read new there leave economic line.,News Article
2,14,thousand,Least personal today behavior institution worry.,7/25/2023,12/5/2021,Medium,Mississippi,back,4.86,50166.87,Blood according baby left.,Industry Report
3,19,deal,Player ok where find small feel stay big inside thus in sea.,3/14/2020,7/19/2024,Low,Nevada,first,1.14,93968.48,Begin move listen smile eat score add my.,News Article
4,9,recognize,Everybody environmental significant strategy while author science somebody baby red mind similar quickly.,4/25/2021,7/3/2022,Medium,Washington,ball,3.32,48385.29,Discuss local send agree town.,Industry Report
5,3,pull,Movie say citizen this yet boy consumer.,6/4/2022,4/20/2020,High,Rhode Island,up,3.18,34588.06,Force involve what challenge always hit begin assume.,Market Research
6,14,seat,Develop road I suffer yes special store could federal relationship.,5/11/2021,8/18/2021,Medium,Tennessee,mother,4.09,31049.16,Light federal hour husband Republican perhaps whom.,News Article
7,15,prepare,Phone film wish meeting direction ahead single think where mission.,6/27/2024,6/10/2020,High,Arizona,TV,4.37,67683.54,Attorney difficult personal seat really type off medical.,Market Research
8,15,because,Inside your woman environmental involve truth as clear leg really ground company.,6/12/2022,5/9/2024,Low,Mississippi,need,3.84,16991.12,On suddenly month song professional nothing.,Market Research
9,4,good,Major between include senior difficult trade word seven plant want appear.,7/28/2020,5/18/2020,Medium,Oregon,must,3.78,91245.86,Him else other pay like question structure.,News Article
10,8,black,Not authority room realize law particularly court economy last clear.,9/12/2022,3/5/2020,High,Montana,weight,4.97,10314.14,Upon side where sport best green Mrs total.,News Article
11,6,character,Close reduce there suffer Mrs action.,7/22/2020,5/24/2020,Medium,California,kind,2.1,42710.09,Write they decide learn each able interest.,News Article
12,18,its,Common radio success traditional traditional could.,10/17/2020,11/15/2022,Medium,Kentucky,season,1.43,50776.22,Upon step paper cold feeling information.,Industry Report
13,8,condition,Floor them view develop official design anything follow wind evidence far conference.,6/5/2020,8/29/2022,Medium,Georgia,as,0.36,87283.08,Half their still general out.,Market Research
14,7,represent,Degree well poor political local fight many commercial indicate although any environmental surface.,4/29/2020,4/8/2020,Low,Michigan,else,3.61,98399.98,Director administration friend hundred recently material.,Market Research
15,16,down,Surface much teach away recent across development responsibility for us plan.,12/8/2023,5/12/2024,Low,Indiana,these,3.18,48870.04,Court score too factor.,News Article
16,5,pay,Bar hit able ahead actually six and answer member fall.,9/5/2022,6/26/2021,Medium,Georgia,if,3.1,42927.42,Lead economy material.,Industry Report
17,5,phone,Child old executive base gun which.,6/15/2021,6/18/2021,Low,Idaho,join,2.05,29161.54,Maintain me economic.,News Article
18,15,vote,Hit cut clearly trouble pretty understand.,12/18/2022,1/13/2022,Low,Alabama,base,4.53,88929.66,Member factor along foot drop.,News Article
19,4,record,Two table experience focus treatment mean arm election.,11/1/2022,9/30/2023,Low,Missouri,live,3.43,58894.6,Sing course treat talk color course.,Industry Report
20,16,various,Great picture rule rest character area according.,1/26/2021,2/19/2020,Medium,South Carolina,successful,0.62,81029.66,Market make matter difficult thing clear kid.,Industry Report
21,20,write,Go focus wish be prepare past industry beautiful decide.,4/22/2022,12/6/2022,High,South Carolina,receive,2.37,46645.12,Hit open listen event statement son.,News Article
