ProductGroupID,GroupName,GroupDescription,Category,SubCategory,DateCreated,CreatedBy,LastModified,ModifiedBy,IsActive,ImageURL,SEOKeywords
1,nothing,Sound second drop season shake capital once him rather either.,never,ten,7/5/2023,Taylor Ali,3/23/2024,Cheyenne Brown,TRUE,http://dawson-gould.net/,"['middle', 'will', 'of', 'throw', 'season']"
2,many,Senior buy exactly meeting whose others produce operation town avoid.,senior,view,1/15/2021,Mrs. Alexis Hodges,1/17/2024,Michelle Cunningham,FALSE,https://franklin.com/,"['either', 'each', 'me', 'court', 'group']"
3,society,Every wall them buy direction ten blue look throw similar.,expert,my,8/14/2020,Ryan Smith,5/9/2024,Robert Richards Jr.,FALSE,http://www.bryant.biz/,"['exactly', 'service', 'professor', 'develop', 'admit']"
4,happen,Cup expert stuff commercial return mission car against consider recognize.,above,professor,4/28/2023,Sharon Brown MD,1/4/2024,Caroline Roberts,FALSE,http://white-mitchell.com/,"['them', 'pressure', 'plan', 'town', 'paper']"
5,adult,Capital ok consumer education machine against pretty.,trip,themselves,5/29/2022,Kevin Nelson,8/21/2024,Robert Leonard,FALSE,http://www.brown-collins.info/,"['clearly', 'beyond', 'alone', 'police', 'north']"
6,day,Professor computer politics medical three be court hour house.,fish,available,11/22/2020,Phillip Nelson,2/17/2024,Zachary Taylor,TRUE,https://lee.com/,"['language', 'Mr', 'increase', 'majority', 'minute']"
7,cost,Time physical five church most section those grow position.,save,inside,5/10/2022,Matthew Brown,4/2/2024,Ashley Holland,FALSE,http://ramirez.com/,"['nearly', 'travel', 'senior', 'blood', 'little']"
8,interest,Kind too discussion hospital owner dinner it.,quality,discuss,4/20/2024,Anthony Mills,7/20/2024,Linda Warren,TRUE,https://www.turner.com/,"['little', 'red', 'American', 'against', 'stop']"
9,mother,Apply shoulder question state respond science upon young.,body,hold,6/10/2023,Robert Miller,8/3/2024,Brooke Sanders,TRUE,http://www.zhang.com/,"['traditional', 'try', 'drive', 'relationship', 'amount']"
10,glass,Across song choose result impact Mrs see weight body sound.,fact,beyond,8/9/2024,Carly Cooper,1/7/2024,Raymond Jackson,TRUE,https://www.bond-pitts.biz/,"['collection', 'eight', 'chance', 'view', 'drop']"
11,court,Congress against letter including town base parent kitchen.,care,national,7/7/2021,Duane Burke,1/15/2024,Kevin Henderson,FALSE,https://www.yates.com/,"['before', 'heavy', 'indicate', 'individual', 'country']"
12,couple,Report any order say everybody great.,from,lose,4/27/2024,Mariah Santos,2/22/2024,Stephen Jones,FALSE,http://www.sherman.com/,"['base', 'model', 'oil', 'treatment', 'analysis']"
13,style,Image never professional what defense partner which change require themselves.,take,tough,6/1/2023,Cynthia Carroll,5/21/2024,Amanda Mccullough,FALSE,https://cox.com/,"['stop', 'every', 'brother', 'recognize', 'thus']"
14,character,Woman poor trouble turn add range shoulder former sell.,prove,their,9/14/2021,Brenda Davis,6/11/2024,Michelle Lee,TRUE,https://schneider.org/,"['far', 'nature', 'government', 'painting', 'pay']"
15,unit,Six surface rock discover song moment.,themselves,build,5/15/2024,Casey Garrison,8/14/2024,Lori Grant,TRUE,https://monroe.com/,"['concern', 'recently', 'line', 'whatever', 'impact']"
16,particular,Sign necessary forward rather government.,PM,identify,7/28/2020,Jeff Maldonado,3/29/2024,Joshua Alvarez,TRUE,https://www.washington.com/,"['reason', 'likely', 'drive', 'authority', 'too']"
17,everything,Prevent so bit election guy religious mouth look away read.,thought,begin,5/20/2023,Taylor Shaw PhD,6/12/2024,Linda Andrews,TRUE,http://www.morris.com/,"['admit', 'reveal', 'significant', 'particular', 'analysis']"
18,specific,Particularly well daughter body necessary write social create another build.,many,physical,5/18/2021,Cynthia Ramirez,4/17/2024,Alicia Mason,TRUE,https://www.mitchell.biz/,"['describe', 'book', 'concern', 'newspaper', 'wait']"
19,management,Wait participant expect red such statement.,through,kitchen,7/11/2023,Vincent Swanson,4/25/2024,Rebecca Harrison,FALSE,https://munoz.com/,"['finally', 'although', 'experience', 'other', 'degree']"
20,manager,Number score book support woman himself action successful.,often,tree,11/24/2022,Jodi Mcdonald,4/23/2024,Brian Rodgers,FALSE,http://sanders.org/,"['population', 'during', 'city', 'pull', 'high']"
