AccessCategoryID,CustomerID,CategoryName,AccessDate,Duration,PageViews,Clicks,DeviceType,BrowserType,ReferralSource,IPAddress,Geolocation
1,93,fact,2/21/2024,29,49,80,Desktop,Safari,Social Media,46.37.236.4,Liechtenstein
2,111,the,8/1/2024,106,24,87,Mobile,Firefox,Direct,2.39.158.166,Fiji
3,102,relate,7/20/2024,30,63,66,Mobile,Firefox,Direct,43.204.150.16,Togo
4,159,seven,1/13/2024,52,74,21,Mobile,Chrome,Direct,90.153.13.215,Bangladesh
5,81,race,5/15/2024,102,62,66,Mobile,Safari,Direct,172.13.158.62,United States of America
6,121,child,7/9/2024,26,4,84,Mobile,Safari,Search Engine,204.168.19.69,Martinique
7,121,another,4/26/2024,77,82,47,Desktop,Chrome,Social Media,122.191.204.44,Ecuador
8,82,claim,4/23/2024,70,18,58,Mobile,Chrome,Search Engine,209.118.178.42,Bhutan
9,32,heart,8/13/2024,27,93,5,Desktop,Chrome,Search Engine,197.132.141.156,Liberia
10,26,decide,8/10/2024,92,58,18,Mobile,Firefox,Search Engine,32.104.130.238,Malawi
11,54,others,2/29/2024,54,32,94,Mobile,Safari,Search Engine,126.157.233.106,United Arab Emirates
12,199,will,4/29/2024,47,4,30,Mobile,Safari,Direct,139.197.59.240,Zimbabwe
13,110,identify,8/19/2024,67,31,59,Desktop,Chrome,Social Media,33.140.35.64,Mauritius
14,105,peace,4/11/2024,24,38,33,Desktop,Firefox,Search Engine,191.17.18.31,Antigua and Barbuda
15,145,strategy,8/14/2024,94,61,7,Mobile,Firefox,Social Media,195.103.19.211,Dominican Republic
16,83,drop,1/22/2024,74,16,93,Mobile,Firefox,Search Engine,78.180.40.87,Tokelau
17,170,appear,6/2/2024,13,21,13,Desktop,Chrome,Social Media,46.179.97.173,Denmark
18,142,region,2/18/2024,58,52,66,Desktop,Safari,Social Media,60.79.216.21,Barbados
19,169,fly,3/31/2024,50,63,76,Desktop,Safari,Search Engine,21.73.141.130,Japan
20,15,task,1/12/2024,90,86,35,Desktop,Firefox,Direct,56.241.67.240,Montserrat
21,15,pull,1/28/2024,64,62,45,Mobile,Safari,Social Media,25.95.79.168,Iceland
22,158,where,5/27/2024,51,72,22,Desktop,Firefox,Direct,174.109.117.132,Qatar
23,17,sign,5/13/2024,36,40,55,Desktop,Chrome,Search Engine,142.163.12.6,Libyan Arab Jamahiriya
24,100,give,5/31/2024,118,21,22,Mobile,Chrome,Search Engine,176.162.143.29,Myanmar
25,165,health,8/1/2024,8,20,36,Mobile,Chrome,Social Media,201.190.149.41,Cook Islands
26,98,show,6/8/2024,48,22,65,Mobile,Safari,Social Media,148.166.75.75,Heard Island and McDonald Islands
27,163,very,6/28/2024,43,95,78,Desktop,Chrome,Direct,102.202.224.113,Jersey
28,138,it,8/12/2024,26,25,1,Desktop,Firefox,Search Engine,18.10.209.203,Nauru
29,109,short,7/22/2024,43,37,59,Mobile,Firefox,Social Media,17.217.222.48,Cameroon
30,176,each,6/24/2024,37,97,66,Mobile,Firefox,Direct,41.245.124.39,Solomon Islands
31,66,nearly,6/8/2024,69,53,9,Desktop,Firefox,Search Engine,63.241.18.109,Macao
32,27,much,3/4/2024,26,80,25,Mobile,Firefox,Social Media,75.132.233.115,Guam
33,89,such,8/7/2024,91,42,12,Desktop,Safari,Search Engine,3.14.206.159,Poland
34,139,benefit,3/13/2024,69,70,79,Desktop,Firefox,Search Engine,216.227.61.103,Kyrgyz Republic
35,165,outside,2/7/2024,104,73,46,Mobile,Chrome,Social Media,69.136.78.174,Saint Barthelemy
36,184,protect,5/27/2024,1,4,66,Mobile,Chrome,Search Engine,12.239.1.131,Trinidad and Tobago
37,27,main,4/6/2024,56,11,51,Mobile,Safari,Social Media,159.196.110.33,Bahamas
38,197,fire,7/16/2024,116,74,43,Desktop,Safari,Direct,10.87.63.38,Croatia
39,8,candidate,7/22/2024,60,42,7,Desktop,Safari,Search Engine,98.162.7.200,Lesotho
40,184,hit,8/17/2024,59,37,62,Mobile,Firefox,Search Engine,25.126.240.227,Czech Republic
41,184,something,6/19/2024,78,58,34,Desktop,Firefox,Search Engine,205.124.14.212,Switzerland
42,73,scientist,6/25/2024,102,46,70,Mobile,Safari,Direct,216.1.184.195,Martinique
43,128,staff,1/2/2024,97,25,84,Desktop,Firefox,Search Engine,38.174.229.52,Niger
44,75,matter,1/14/2024,62,69,79,Mobile,Safari,Search Engine,152.93.57.6,Nicaragua
45,175,significant,6/7/2024,41,59,28,Desktop,Chrome,Direct,41.107.186.194,Maldives
46,105,lose,7/29/2024,115,92,72,Mobile,Safari,Search Engine,22.4.241.162,Kyrgyz Republic
47,65,model,1/16/2024,54,58,75,Mobile,Firefox,Search Engine,200.99.139.117,Nigeria
48,195,citizen,6/20/2024,100,77,53,Mobile,Chrome,Search Engine,76.189.50.92,El Salvador
49,58,ball,3/29/2024,111,94,34,Desktop,Safari,Direct,153.8.37.32,Uruguay
50,78,stage,4/4/2024,119,52,4,Mobile,Firefox,Search Engine,181.118.227.61,Mozambique
51,126,majority,4/21/2024,110,64,24,Desktop,Chrome,Search Engine,5.188.233.95,Belarus
52,164,individual,1/8/2024,73,20,25,Mobile,Safari,Social Media,70.84.74.122,Indonesia
53,100,whatever,3/2/2024,13,10,52,Desktop,Firefox,Direct,81.248.82.8,Northern Mariana Islands
54,24,fall,2/21/2024,116,17,55,Desktop,Firefox,Direct,215.36.90.40,Faroe Islands
55,161,thing,2/16/2024,61,35,33,Desktop,Safari,Search Engine,71.90.97.42,Moldova
56,106,arrive,1/20/2024,97,40,17,Desktop,Firefox,Search Engine,40.71.155.123,Senegal
57,8,thousand,1/2/2024,113,90,60,Desktop,Safari,Search Engine,11.109.255.183,Bangladesh
58,69,year,5/16/2024,68,41,66,Mobile,Chrome,Direct,190.246.219.236,Equatorial Guinea
59,78,husband,2/7/2024,102,77,46,Desktop,Chrome,Search Engine,131.193.200.91,Kazakhstan
60,102,customer,5/11/2024,97,99,61,Desktop,Chrome,Direct,125.49.223.91,Bouvet Island (Bouvetoya)
61,43,detail,1/29/2024,46,2,72,Mobile,Firefox,Direct,93.119.21.40,Nigeria
62,74,institution,8/4/2024,118,36,88,Desktop,Chrome,Social Media,7.109.245.42,Northern Mariana Islands
63,2,stay,4/19/2024,40,19,87,Desktop,Safari,Direct,188.180.74.56,Japan
64,19,Republican,7/15/2024,72,58,19,Desktop,Safari,Social Media,163.74.116.114,Bulgaria
65,147,western,1/20/2024,94,10,30,Desktop,Firefox,Direct,208.1.183.92,Nicaragua
66,174,next,1/28/2024,104,92,52,Desktop,Safari,Direct,222.237.13.174,Namibia
67,104,able,3/22/2024,85,79,75,Desktop,Chrome,Social Media,194.57.174.170,United States of America
68,91,fall,8/16/2024,110,10,99,Mobile,Firefox,Search Engine,92.200.236.99,Saint Vincent and the Grenadines
69,85,young,1/13/2024,2,22,6,Desktop,Safari,Search Engine,57.159.206.45,Maldives
70,79,create,4/4/2024,116,95,77,Desktop,Safari,Direct,80.144.92.183,Saint Helena
71,7,wear,1/17/2024,46,20,92,Desktop,Safari,Search Engine,31.36.216.42,Cuba
72,89,alone,6/10/2024,87,67,9,Mobile,Chrome,Direct,98.192.86.101,Nauru
73,155,indeed,4/19/2024,27,94,99,Mobile,Safari,Search Engine,54.156.54.99,Hungary
74,173,fish,3/24/2024,54,89,55,Desktop,Safari,Search Engine,55.11.149.193,Gambia
75,171,still,2/21/2024,20,25,63,Desktop,Safari,Social Media,82.35.195.100,Central African Republic
76,43,into,3/18/2024,50,8,77,Desktop,Safari,Search Engine,199.88.6.104,Lebanon
77,43,way,3/19/2024,85,21,49,Desktop,Firefox,Social Media,151.238.167.198,Czech Republic
78,19,cover,2/2/2024,98,28,70,Desktop,Chrome,Social Media,38.245.219.222,Oman
79,108,claim,2/11/2024,66,80,98,Mobile,Chrome,Social Media,188.255.247.189,Mali
80,138,moment,2/9/2024,88,70,22,Mobile,Safari,Search Engine,67.96.55.201,Malaysia
81,129,me,4/10/2024,119,18,19,Desktop,Firefox,Social Media,18.36.124.160,Saint Martin
82,136,themselves,5/10/2024,96,9,16,Desktop,Chrome,Search Engine,12.239.87.76,Lesotho
83,124,former,4/15/2024,19,39,83,Desktop,Safari,Social Media,101.75.122.180,Hungary
84,47,apply,6/15/2024,33,36,69,Desktop,Safari,Social Media,23.89.147.132,Korea
85,173,already,1/21/2024,8,25,92,Desktop,Safari,Search Engine,32.252.159.6,Cuba
86,44,plant,8/13/2024,49,98,60,Mobile,Firefox,Social Media,5.212.130.106,Cote d'Ivoire
87,137,fast,8/14/2024,88,99,77,Mobile,Chrome,Direct,186.116.220.234,Guadeloupe
88,149,boy,3/20/2024,95,15,89,Mobile,Chrome,Direct,223.96.251.175,Tuvalu
89,49,property,4/29/2024,55,54,62,Desktop,Firefox,Search Engine,178.239.82.101,Australia
90,167,measure,2/29/2024,54,19,7,Mobile,Chrome,Search Engine,117.97.189.188,French Southern Territories
91,80,year,6/6/2024,108,87,82,Desktop,Safari,Search Engine,17.143.78.104,Antigua and Barbuda
92,86,newspaper,5/17/2024,111,54,38,Mobile,Safari,Direct,57.200.63.119,Chad
93,60,significant,6/15/2024,47,75,45,Desktop,Firefox,Search Engine,80.65.186.55,Bosnia and Herzegovina
94,1,news,1/5/2024,86,85,25,Mobile,Firefox,Search Engine,3.205.50.43,Israel
95,43,audience,8/17/2024,23,40,80,Desktop,Firefox,Search Engine,45.81.15.23,Mayotte
96,41,store,2/28/2024,39,11,11,Desktop,Safari,Direct,171.116.40.65,Grenada
97,27,someone,2/11/2024,16,71,40,Desktop,Chrome,Search Engine,173.131.60.117,Australia
98,97,during,3/29/2024,85,89,41,Desktop,Chrome,Search Engine,76.207.255.80,Equatorial Guinea
99,36,unit,8/10/2024,101,60,89,Desktop,Firefox,Direct,17.39.113.144,Brazil
100,116,political,3/28/2024,30,47,99,Desktop,Chrome,Direct,220.77.44.195,Portugal
101,50,reflect,8/6/2024,66,11,10,Desktop,Firefox,Search Engine,74.127.175.203,Cocos (Keeling) Islands
102,179,follow,8/14/2024,32,30,3,Mobile,Chrome,Social Media,220.81.233.201,Cameroon
103,85,difficult,1/1/2024,29,47,49,Desktop,Safari,Social Media,140.63.39.248,Uzbekistan
104,167,might,2/10/2024,60,50,16,Mobile,Firefox,Social Media,152.186.181.110,Ireland
105,37,agreement,6/8/2024,119,23,62,Desktop,Firefox,Direct,88.57.220.104,Sao Tome and Principe
106,18,rich,7/12/2024,74,73,28,Mobile,Firefox,Search Engine,10.78.156.108,Mozambique
107,40,story,8/13/2024,99,51,4,Desktop,Chrome,Direct,212.129.31.104,Congo
108,183,agent,6/22/2024,21,71,41,Mobile,Firefox,Social Media,195.21.156.60,Pakistan
109,198,address,6/2/2024,10,71,11,Mobile,Safari,Direct,132.115.37.61,New Caledonia
110,124,film,5/17/2024,30,57,49,Desktop,Chrome,Search Engine,55.210.156.187,Bolivia
111,10,eye,3/10/2024,65,28,87,Desktop,Safari,Search Engine,106.150.221.36,Yemen
112,96,past,2/24/2024,111,99,97,Mobile,Firefox,Search Engine,59.154.99.109,Greece
113,112,news,1/8/2024,99,11,53,Desktop,Safari,Search Engine,118.188.47.38,Montenegro
114,126,easy,3/5/2024,103,56,3,Mobile,Firefox,Direct,66.69.115.74,Cuba
115,133,media,6/5/2024,110,20,23,Mobile,Safari,Search Engine,125.109.117.56,Netherlands
116,133,every,8/11/2024,79,76,41,Mobile,Firefox,Social Media,83.174.1.184,Micronesia
117,61,level,4/25/2024,16,9,76,Desktop,Firefox,Search Engine,103.170.253.185,Lebanon
118,96,same,6/11/2024,11,3,87,Mobile,Safari,Social Media,175.86.36.79,Faroe Islands
119,82,coach,6/4/2024,43,88,10,Desktop,Firefox,Direct,199.70.180.158,Indonesia
